City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,happy valley-goose bay,53.3168,-60.3315,-4.83,93,20,1.54,CA,1700182264
121,naze,28.3667,129.4833,18.51,62,100,8.45,JP,1700182265
122,college,64.8569,-147.8028,-4.75,85,75,0.0,US,1700182265
123,hermanus,-34.4187,19.2345,17.64,84,100,1.67,ZA,1700182265
124,akureyri,65.6835,-18.0878,-7.04,93,82,0.0,IS,1700182265
125,wailua homesteads,22.0669,-159.378,29.24,62,40,6.17,US,1700182266
126,puerto madero,14.7208,-92.4215,27.88,76,4,1.1,MX,1700182266
127,atafu village,-8.5421,-172.5159,29.62,73,14,3.29,TK,1700182266
128,paramonga,-10.6667,-77.8333,19.42,89,91,4.46,PE,1700182266
129,margaret river,-33.95,115.0667,19.53,46,0,3.32,AU,1700182267
130,sedan,49.6667,5.0,5.93,97,100,3.06,FR,1700182267
131,komsomolets,53.7453,62.0708,3.65,97,100,4.04,KZ,1700182267
132,cumanayagua,22.1494,-80.2022,25.86,89,100,1.34,CU,1700182268
133,sao vicente,-23.9631,-46.3919,30.1,95,100,1.09,BR,1700182268
134,kazerun,29.6195,51.6541,16.11,68,99,0.55,IR,1700182269
135,acarau,-2.8856,-40.12,26.68,80,73,7.33,BR,1700182269
136,donghai,22.9459,115.642,15.37,48,5,4.95,CN,1700182270
137,hadibu,12.65,54.0333,26.65,86,23,3.79,YE,1700182270
138,carnarvon,-24.8667,113.6333,26.18,60,0,3.77,AU,1700182270
139,horta,38.5333,-28.6333,20.01,90,100,11.62,PT,1700182270
140,cabo san lucas,22.8909,-109.9124,28.67,71,96,2.11,MX,1700182271
141,tevriz,57.509,72.4042,-0.04,93,94,3.45,RU,1700182271
142,kasongo-lunda,-6.4667,16.8167,20.59,96,100,0.74,CD,1700182272
143,talnakh,69.4865,88.3972,-21.18,98,85,2.56,RU,1700182272
144,punaauia,-17.6333,-149.6,28.8,58,40,3.09,PF,1700182272
145,tura,25.5198,90.2201,18.97,93,100,2.01,IN,1700182273
146,bardai,11.65,7.2333,21.55,56,86,4.19,NG,1700182273
147,cananeia,-25.0147,-47.9267,22.84,95,64,2.79,BR,1700182273
148,nouadhibou,20.931,-17.0347,22.99,56,0,6.17,MR,1700182170
149,sinjai,-5.1241,120.253,30.76,62,95,1.48,ID,1700182274
150,timana,1.9714,-75.9312,18.86,95,99,1.11,CO,1700182274
151,arraial do cabo,-22.9661,-42.0278,24.07,86,100,8.33,BR,1700182274
152,enewetak,11.3474,162.3373,28.3,83,7,10.26,MH,1700182275
153,kodiak,57.79,-152.4072,1.73,48,75,8.75,US,1700182031
154,trancas,-26.2314,-65.2803,20.63,86,100,1.85,AR,1700182275
155,tlacotepec,20.0667,-97.8667,15.16,90,84,0.24,MX,1700182275
156,ribeira grande,38.5167,-28.7,20.43,90,100,11.62,PT,1700182275
157,nadi,-17.8,177.4167,29.0,65,20,5.66,FJ,1700182089
158,meulaboh,4.1363,96.1285,25.29,91,100,1.13,ID,1700182276
159,shenjiamen,29.9576,122.298,12.54,50,1,10.72,CN,1700182276
160,udachny,66.4167,112.4,-10.86,92,100,3.65,RU,1700182276
161,kapa'a,22.0752,-159.319,29.99,62,40,6.17,US,1700182277
162,san antonio de pale,-1.4014,5.6325,26.71,83,77,5.42,GQ,1700182277
163,muroran,42.3172,140.9881,12.46,90,100,13.78,JP,1700182277
164,callao,-12.0667,-77.15,23.18,77,100,5.66,PE,1700182277
165,phrai bueng,14.7483,104.3626,22.28,77,9,8.1,TH,1700182278
166,dalbandin,28.8947,64.4101,18.89,34,98,1.8,PK,1700182278
167,port-vila,-17.7338,168.3219,28.78,65,75,2.57,VU,1700182278
168,avarua,-21.2078,-159.775,24.03,69,100,5.66,CK,1700182279
169,dana point,33.467,-117.6981,21.0,84,0,3.13,US,1700182098
170,fort st. john,56.2499,-120.8529,2.94,65,75,10.8,CA,1700182279
171,nantucket,41.2835,-70.0995,10.08,97,0,2.57,US,1700182062
172,ola,59.5833,151.2833,-13.56,71,14,1.73,RU,1700182280
173,qaqortoq,60.7167,-46.0333,-7.45,74,19,3.42,GL,1700182280
174,tamandare,-8.7597,-35.1047,25.42,80,63,4.73,BR,1700182280
175,bhachau,23.2833,70.35,21.76,42,1,4.14,IN,1700182280
176,praia da vitoria,38.7333,-27.0667,21.53,88,75,12.72,PT,1700182281
177,chashniki,54.8569,29.1607,-3.2,84,26,2.37,BY,1700182281
178,zhengjiatun,43.5064,123.5064,-6.27,84,95,3.49,CN,1700182281
179,thisted,56.9552,8.6949,2.33,89,100,6.08,DK,1700182281
180,hobyo,5.3505,48.5268,27.62,78,11,2.99,SO,1700182282
181,vila franca do campo,37.7167,-25.4333,21.6,99,100,9.13,PT,1700182282
182,road town,18.4167,-64.6167,28.05,74,40,5.66,VG,1700182282
183,kruisfontein,-34.0033,24.7314,15.59,89,17,2.1,ZA,1700182283
184,plettenberg bay,-34.0527,23.3716,18.13,65,100,2.88,ZA,1700182283
185,makhambet,47.6667,51.5833,7.59,79,100,3.45,KZ,1700182284
186,karratha,-20.7377,116.8463,28.19,42,0,5.51,AU,1700182284
187,mejit,10.2753,170.8646,28.2,79,7,7.64,MH,1700182284
188,sinazongwe,-17.2614,27.4618,24.01,53,45,1.88,ZM,1700182284
189,dudinka,69.4058,86.1778,-22.33,99,83,4.78,RU,1700182285
190,jamestown,42.097,-79.2353,13.17,46,0,4.12,US,1700182197
191,utrik,11.2278,169.8474,28.2,78,15,7.43,MH,1700182285
192,bodo,67.28,14.405,-0.68,87,100,1.54,NO,1700182286
193,east ballina,-28.8667,153.5833,26.0,77,93,7.57,AU,1700182286
194,ilha de mocambique,-15.0342,40.7358,24.72,74,8,4.93,MZ,1700182286
195,diu,20.7141,70.9822,22.85,53,5,4.86,IN,1700182287
196,tobruk,32.0836,23.9764,20.68,79,2,3.93,LY,1700182287
197,balabac,7.9868,117.0645,28.17,77,100,3.24,PH,1700182287
198,tazovsky,67.4667,78.7,-20.32,97,12,3.85,RU,1700182287
199,ambon,-3.6954,128.1814,31.08,70,20,2.06,ID,1700182288
200,severo-yeniseyskiy,60.3725,93.0408,-2.46,94,100,4.47,RU,1700182288
201,kapuskasing,49.4169,-82.4331,11.05,62,100,9.26,CA,1700182288
202,palmer,42.1584,-72.3287,10.67,78,40,0.0,US,1700182050
203,lospalos,-8.5186,127.0025,31.2,39,12,1.64,TL,1700182289
204,lompoc,34.6391,-120.4579,20.94,70,20,6.17,US,1700182255
205,klyuchi,52.2667,79.1667,5.4,76,100,0.82,RU,1700182289
206,ixtapa,20.7,-105.2,24.75,93,19,0.69,MX,1700182290
207,el jadid,33.2549,-8.506,18.9,87,4,5.31,MA,1700182290
208,malango,-2.9627,119.9001,26.71,69,77,0.7,ID,1700182290
209,show low,34.2542,-110.0298,13.16,69,0,3.6,US,1700182290
210,nyurba,63.2842,118.3319,-3.88,94,100,4.69,RU,1700182291
211,daru,-9.0763,143.2092,29.3,61,9,4.35,PG,1700182291
212,vila velha,-20.3297,-40.2925,25.97,85,0,6.26,BR,1700182041
213,papao,-17.75,-149.55,28.82,80,95,11.17,PF,1700182292
214,san jose del cabo,23.0589,-109.6977,28.66,64,99,1.93,MX,1700182200
215,maqat,47.65,53.3167,8.04,70,100,3.68,KZ,1700182292
216,woolgoolga,-30.1106,153.2007,18.93,86,100,11.69,AU,1700182292
217,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,68,20,2.0,RU,1700182293
218,chania,35.5122,24.0156,17.78,88,75,0.0,GR,1700182293
219,nebraska city,40.6767,-95.8592,15.89,67,75,2.06,US,1700182293
220,sciacca,37.5082,13.0881,17.24,80,12,3.68,IT,1700182294
221,sitka,57.0531,-135.33,7.94,87,100,2.06,US,1700182294
222,new norfolk,-42.7826,147.0587,19.28,49,21,4.09,AU,1700182294
223,puerto asis,0.5133,-76.5007,24.2,90,54,0.64,CO,1700182294
224,colonia,50.9333,6.95,7.55,87,0,2.57,DE,1700182295
225,laishevo,55.4046,49.5504,0.27,95,95,3.73,RU,1700182295
226,nuuk,64.1835,-51.7216,-1.66,80,75,1.03,GL,1700182200
227,steinkjer,64.193,11.3851,-12.48,73,45,1.51,NO,1700182295
228,dryden,49.7833,-92.7503,-1.84,80,75,3.6,CA,1700182296
229,myitkyina,25.3833,97.4,18.9,74,100,0.25,MM,1700182296
230,mammoth lakes,37.6485,-118.9721,1.86,85,40,0.0,US,1700182296
231,urangan,-25.3,152.9,24.94,84,79,10.41,AU,1700182297
232,iwye,53.9299,25.7727,0.33,84,100,1.99,BY,1700182297
233,shindand,33.3029,62.1474,16.25,17,100,2.87,AF,1700182297
234,aykhal,66.0,111.5,-8.92,93,100,6.24,RU,1700182297
235,georgetown,5.4112,100.3354,28.86,89,20,1.03,MY,1700182298
236,thunder bay,48.4001,-89.3168,4.99,56,100,9.77,CA,1700182099
237,cherdyn',60.403,56.4787,-7.3,94,97,2.43,RU,1700182298
238,kulhudhuffushi,6.6221,73.07,27.88,75,3,0.98,MV,1700182299
239,bay city,43.5945,-83.8889,15.18,54,0,7.72,US,1700182299
240,nar'yan-mar,67.6713,53.087,-13.27,97,88,2.24,RU,1700182299
241,vine grove,37.8101,-85.9814,17.52,65,0,2.06,US,1700182301
242,cooper's town,26.8667,-77.5167,24.69,85,100,7.13,BS,1700182301
243,harstad,68.799,16.5293,1.0,96,100,9.39,NO,1700182301
244,pisco,-13.7,-76.2167,20.01,88,0,9.77,PE,1700182301
245,gizo,-8.103,156.8419,27.87,73,74,3.41,SB,1700182302
246,northam,51.0333,-4.2167,10.34,86,22,7.33,GB,1700182302
247,polatsk,55.4859,28.7756,-3.21,80,23,2.03,BY,1700182302
248,ta`u,-14.2336,-169.5144,28.23,80,100,4.63,AS,1700182302
249,isangel,-19.55,169.2667,28.06,74,75,2.06,VU,1700182303
250,quellon,-43.1167,-73.6167,9.17,90,97,7.35,CL,1700182303
251,chinde,26.8418,88.0763,11.93,36,0,2.69,NP,1700182303
252,port saint john's,-31.6229,29.5448,20.4,79,100,1.71,ZA,1700182303
253,westport,41.1415,-73.3579,12.72,79,0,4.12,US,1700182304
254,pangkalanbuun,-2.6833,111.6167,27.96,84,97,1.39,ID,1700182304
255,eilat,29.5581,34.9482,19.91,60,0,2.57,IL,1700182230
256,leava,-14.3,-178.1667,28.79,75,10,2.43,WF,1700182304
257,eno,62.8051,30.1542,-8.27,95,19,0.9,FI,1700182305
258,mushie,-3.0167,16.9,21.88,99,100,1.1,CD,1700182305
259,tromso,69.6496,18.957,1.01,64,75,6.69,NO,1700182305
260,yaren,-0.5472,166.916,28.47,76,94,2.94,NR,1700182306
261,bikenibeu village,1.3673,173.1241,28.91,76,100,4.94,KI,1700182306
262,winnemucca,40.973,-117.7357,10.55,54,6,1.44,US,1700182060
263,la ronge,55.1001,-105.2842,-4.86,74,20,3.6,CA,1700182306
264,berezovyy,51.6667,135.7,-5.02,67,100,0.3,RU,1700182306
265,chibougamau,49.9168,-74.3659,2.79,70,100,8.23,CA,1700182307
266,san julian,21.0167,-102.1667,18.34,37,0,2.51,MX,1700182307
267,sarankhola,22.3082,89.7897,21.55,98,100,5.52,BD,1700182307
268,gaigeturi,33.4644,126.3183,10.03,62,75,7.72,KR,1700182307
269,portage,41.1667,-81.1998,15.02,55,72,0.89,US,1700182307
270,kununurra,-15.7667,128.7333,33.99,52,10,2.57,AU,1700182113
271,baharly,38.4362,57.4316,18.99,28,62,2.65,TM,1700182308
272,arkhangel'sk,64.5401,40.5433,-5.49,84,49,4.31,RU,1700182308
273,safotu,-13.4513,-172.4018,28.86,80,92,3.12,WS,1700182308
274,mbandaka,0.0487,18.2603,21.79,98,100,0.9,CD,1700182309
275,arteche,12.2645,125.4048,27.46,86,100,5.34,PH,1700182309
276,labrador city,52.9463,-66.9114,-5.05,86,75,3.09,CA,1700182309
277,wuhai,39.6647,106.8122,1.09,26,0,0.85,CN,1700182309
278,pacific grove,36.6177,-121.9166,19.1,79,40,5.36,US,1700182309
279,cole harbour,44.6724,-63.4751,6.71,81,87,3.6,CA,1700182310
280,north bath,43.9348,-69.8159,8.97,91,0,0.0,US,1700182310
281,jacmel,18.2342,-72.5347,27.91,82,68,2.98,HT,1700182310
282,key biscayne,25.6937,-80.1628,25.01,90,20,2.06,US,1700182028
283,alice springs,-23.7,133.8833,20.75,94,100,4.63,AU,1700182311
284,al mishkhab,31.8042,44.4911,18.38,64,0,2.26,IQ,1700182311
285,katsuren-haebaru,26.3369,127.8719,21.43,60,75,8.23,JP,1700182311
